HOMELON,HOMELAT,HOME_FED,TOTAL_PLAYERS,CLUB
9.124,45.47,UEFA,5,Milan
9.23,48.79,UEFA,2,VfB Stuttgart  
9.68,45.7,UEFA,2,Atalanta
9.73,52.36,UEFA,1,Hannover 96  
9.89,53.58,UEFA,3,Hamburger SV  
9.89,57.05,UEFA,1,AaB
9.96,53.55,UEFA,1,St. Pauli  
10.01,56.46,UEFA,1,Randers
10.27,36.74,CAF,2,Club Africain  
10.27,36.74,UEFA,2,Esperance
10.61,35.82,AFC,1,Etoile du Sahel 
10.74,34.73,CAF,1,CS Sfaxien  
10.8,52.43,UEFA,2,VfL Wolfsburg  
10.8,59.91,UEFA,1,Valerenga
10.88,48.32,UEFA,2,FC Augsburg  
10.96,45.43,UEFA,1,Hellas Verona  
11.28,43.78,UEFA,3,Fiorentina
11.3,44.49,CONMEBOL,4,Bologna
11.6,44.83,UEFA,2,SPAL
11.62,48.21,UEFA,11,Bayern Munich  
12.07,55.63,UEFA,1,Roskilde
12.34,51.34,UEFA,4,RB Leipzig  
12.41,55.64,UEFA,1,Brøndby   
12.45,41.93,UEFA,2,Lazio
12.45,41.93,CONMEBOL,3,Roma
12.57,55.7,UEFA,3,Copenhagen
12.98,55.58,UEFA,1,MalmÃ¶
12.99,47.81,UEFA,2,Red Bull Salzburg 
13.2,46.08,CONCACAF,3,Udinese
13.23,52.51,UEFA,2,Hertha BSC  
14.19,40.82,UEFA,6,Napoli
14.4,45.34,UEFA,1,Rijeka
14.65,63.19,CONCACAF,1,Ostersund
16.01,45.81,UEFA,2,Dinamo Zagreb  
16.17,58.58,UEFA,1,Norrkoping
17.11,39.07,CONMEBOL,2,Crotone
17.61,47.99,UEFA,1,Dunajska Streda  
18.64,54.39,UEFA,1,Lechia Gdansk  
18.76,50.29,UEFA,1,Gornik Zabrze  
20.45,44.78,UEFA,1,Partizan
20.46,44.78,UEFA,2,Red Star Belgrade 
21.04,52.22,UEFA,2,Legia Warsaw  
22.97,40.61,CONMEBOL,2,PAOK
23.36,42.7,UEFA,1,Levski Sofia  
23.66,37.94,CONMEBOL,2,Olympiacos
23.78,38.03,UEFA,1,AEK Athens  
25.59,-33.93,CAF,1,Chippa United 
26.1,44.45,UEFA,1,Dinamo Bucuresti  
26.52,43.53,UEFA,1,Ludogorets Razgrad  
27.26,38.44,UEFA,1,Goztepe
28.8,41.12,CAF,1,Istanbul Basaksehir
28.97,41.03,AFC,2,Kasimpasa
28.99,41.03,UEFA,3,Besiktas
28.99,41.1,UEFA,3,Galatasaray
29,40.21,UEFA,4,Bursaspor
29.03,40.98,AFC,1,Fenerbahce
30.22,59.97,UEFA,6,Zenit Saint Petersburg 
30.52,50.43,UEFA,1,Dynamo Kyiv  
30.66,36.88,UEFA,1,Antalyaspor
31.31,30.06,CAF,7,Al Ahly  
31.31,30.06,AFC,3,Zamalek
32.07,36.56,AFC,1,Alanyaspor
34.77,31.27,UEFA,1,Hapoel Be'er Sheva 
34.86,32.29,UEFA,1,Maccabi Tel Aviv 
37.44,55.81,UEFA,3,Spartak Moscow  
37.51,55.47,UEFA,5,CSKA Moscow  
37.6,54.17,UEFA,1,Arsenal Tula  
37.74,55.8,UEFA,6,Lokomotiv Moscow  
37.78,47.99,UEFA,1,Shakhtar Donetsk  
38.44,38.33,UEFA,1,Yeni Malatyaspor  
39.02,45.04,AFC,5,Krasnodar
39.16,21.76,AFC,10,AlAhli  
39.16,21.76,AFC,2,Al Ittihad
39.64,40.99,UEFA,1,Trabzonspor
39.73,47.2,UEFA,3,Rostov
43.94,26.37,AFC,1,Al Raed 
43.94,26.37,AFC,1,Al Taawoun 
45.74,43.32,UEFA,2,Akhmat Grozny  
45.96,28.43,AFC,1,Al Batin  
46.83,24.78,AFC,10,Al Hilal  
46.83,24.78,AFC,4,Al Nassr  
46.83,24.78,AFC,3,Al Shabab  
49.16,55.82,UEFA,3,Rubin Kazan  
49.61,25.3,AFC,1,Al Fateh 
50.11,26.42,AFC,1,Al-Ettifaq  
51.27,35.72,CAF,4,Esteghlal
51.27,35.72,CONMEBOL,2,Persepolis
51.31,35.7,UEFA,1,Saipa
51.42,32.48,AFC,1,Zob Ahan  
51.44,25.34,AFC,1,Al-Gharafa
51.48,25.26,AFC,1,Al-Sadd
54.39,24.45,AFC,1,Al-Jazira 
55.71,24.24,AFC,1,Al Ain
56.24,57.99,UEFA,2,Amkar Perm  
59.38,36.42,CONCACAF,1,Padideh
113.26,23.13,AFC,1,Guangzhou R&F  
113.31,23.14,AFC,1,Guangzhou Evergrande  
116.44,39.92,AFC,1,Beijing Sinobo Guoan 
116.72,39.55,AFC,1,Hebei China Fortune 
117.18,38.88,AFC,1,Tianjin TEDA  
117.35,39,AFC,1,Tianjin Quanjian  
121.56,39.02,AFC,2,Dalian Yifang  
125.33,43.86,AFC,1,Changchun Yatai  
126.5,33.24,UEFA,1,Jeju United 
126.64,37.46,UEFA,1,Incheon United 
126.89,37.56,AFC,1, FC Seoul 
127.02,36.76,AFC,1,Asan Mugunghwa 
127.03,37.28,UEFA,1,Suwon Samsung Bluewings
127.06,35.86,UEFA,3,Jeonbuk Hyundai Motors
127.12,37.41,CONCACAF,1,Seongnam FC 
128.16,36.43,CONCACAF,2,Sangju Sangmu 
128.69,35.82,AFC,1,Daegu FC 
129.25,35.53,UEFA,1,Ulsan Hyundai 
130.52,33.37,UEFA,1,Tosu  
135.16,34.65,AFC,2,Vissel Kobe  
135.51,34.61,AFC,2,Cerezo Osaka  
135.54,34.81,AFC,1,Gamba Osaka  
139.52,35.66,AFC,1,FC Tokyo  
139.6,35.51,AFC,1,Yokohama F. Marinos 
139.65,35.58,AFC,1,Kawasaki Frontale  
139.71,35.9,AFC,3,Urawa Red Diamonds 
139.97,35.84,AFC,1,Kashiwa Reysol  
140.64,35.99,AFC,2,Kashima Antlers  
144.98,-37.82,AFC,1,Melbourne City  
151.06,-33.84,AFC,1,Western Sydney Wanderers 
151.72,-32.91,AFC,1,Newcastle Jets  
