COUNTRY_NATION_TEAM,PLAYER_NUMBER,PLAYER_POSITION,PLAYER_FNAME,PLAYER_LNAME,PLAYER_BIRTH_DAY,PLAYER_BIRTH_MONTH,PLAYER_BIRTH_YEAR,PLAYER_AGE,PLAYER_CAPS,PLAYER_GOALS,PLAYER_CLUB_COUNTRY,PLAYER_CLUB
CRO,14,MF,Filip,Bradarić,11,1,1992,26,4,0,CRO,Rijeka   
SWE,1,GK,Robin,Olsen,8,1,1990,28,20,0,DEN,Copenhagen   
ISL,12,GK,Frederik,Schram,19,1,1995,23,4,0,DEN,Roskilde   
TUN,12,DF,Ali,Maâloul,1,1,1990,28,49,0,EGY,Al Ahly  
SUI,2,DF,Stephan,Lichtsteiner,16,1,1984,34,102,8,ENG,Arsenal   
BEL,10,FW,Eden,Hazard,7,1,1991,27,88,24,ENG,Chelsea   
ENG,21,MF,Ruben,Loftus-Cheek,23,1,1996,22,6,0,ENG,Chelsea   
EGY,14,MF,Ramadan,Sobhi,23,1,1997,21,28,1,ENG,Huddersfield Town  
ENG,11,FW,Jamie,Vardy,11,1,1987,31,23,7,ENG,Leicester City  
ESP,21,MF,David,Silva,8,1,1986,32,124,35,ENG,Manchester City  
ENG,4,MF,Eric,Dier,15,1,1994,24,27,3,ENG,Tottenham Hotspur  
EGY,2,DF,Ali,Gabr,10,1,1989,29,25,1,ENG,West Bromwich Albion 
EGY,6,DF,Ahmed,Hegazi,25,1,1991,27,48,1,ENG,West Bromwich Albion 
POR,10,MF,João,Mário,19,1,1993,25,39,2,ENG,West Ham United 
TUN,5,DF,Oussama,Haddadi,28,1,1992,26,9,0,FRA,Dijon   
SWE,12,GK,Karl-Johan,Johnsson,28,1,1990,28,5,0,FRA,Guingamp   
FRA,20,FW,Florian,Thauvin,26,1,1993,25,4,0,FRA,Marseille   
NGA,20,DF,Chidozie,Awaziem,1,1,1997,21,3,0,FRA,Nantes   
POL,10,MF,Grzegorz,Krychowiak,29,1,1990,28,53,3,FRA,Paris Saint Germain 
GER,4,DF,Matthias,Ginter,19,1,1994,24,18,0,GER,Borussia Mönchengladbach  
JPN,17,MF,Makoto,Hasebe,18,1,1984,34,112,2,GER,Eintracht Frankfurt  
GER,2,DF,Marvin,Plattenhardt,26,1,1992,26,7,0,GER,Hertha BSC  
MAR,20,FW,Aziz,Bouhaddouz,29,1,1987,31,17,3,GER,St. Pauli  
KOR,10,MF,Lee,Seung-woo,6,1,1998,20,6,0,ITA,Hellas Verona  
ARG,5,MF,Lucas,Biglia,30,1,1986,32,58,1,ITA,Milan   
JPN,18,MF,Ryota,Oshima,23,1,1993,25,5,0,JPN,Kawasaki Frontale  
MEX,19,FW,Oribe,Peralta,12,1,1984,34,67,26,MEX,América   
MEX,1,GK,José,de Jesus Corono,28,1,1981,37,52,0,MEX,Cruz Azul  
PER,4,DF,Anderson,Santamaría,10,1,1992,26,7,0,MEX,Puebla   
DEN,9,FW,Nicolai,Jørgensen,15,1,1991,27,33,8,NED,Feyenoord   
MAR,8,MF,Karim,El Ahmadi,27,1,1985,33,53,1,NED,Feyenoord   
COL,4,DF,Santiago,Arias,13,1,1992,26,43,0,NED,PSV   
POL,21,MF,Rafał,Kurzawa,29,1,1993,25,3,0,POL,Górnik Zabrze  
MEX,17,FW,Jesús,Manuel Corona,6,1,1993,25,37,7,POR,Porto   
SWE,17,MF,Viktor,Claesson,2,1,1992,26,24,3,RUS,Krasnodar   
IRN,20,FW,Sardar,Azmoun,1,1,1995,23,36,23,RUS,Rubin Kazan  
RUS,7,MF,Daler,Kuzyayev,15,1,1993,25,9,0,RUS,Zenit Saint Petersburg 
EGY,1,GK,Essam,El-Hadary,15,1,1973,45,155,0,KSA, Al Taawoun 
KSA,16,MF,Housain,Al-Mogahwi,28,1,1988,30,20,1,KSA, Al-Ahli  
TUN,14,MF,Mohamed,Amine Ben Amor,1,1,1992,26,27,3,KSA, Al-Ahli  
KSA,1,GK,Abdullah,Al-Mayouf,23,1,1987,31,11,0,KSA, Al-Hilal  
