COUNTRY_NATION_TEAM,PLAYER_NUMBER,PLAYER_POSITION,PLAYER_FNAME,PLAYER_LNAME,PLAYER_BIRTH_DAY,PLAYER_BIRTH_MONTH,PLAYER_BIRTH_YEAR,PLAYER_AGE,PLAYER_CAPS,PLAYER_GOALS,PLAYER_CLUB_COUNTRY,PLAYER_CLUB
GER,7,MF,Julian,Draxler,20,9,1993,24,46,6,FRA,Paris Saint-Germain  
GER,17,DF,Jérôme,Boateng,3,9,1988,29,73,1,GER,Bayern Munich  
GER,13,FW,Thomas,Müller,13,9,1989,28,93,38,GER,Bayern Munich  
GER,15,DF,Niklas,Süle,3,9,1995,22,11,0,GER,Bayern Munich  
DEN,8,MF,Thomas,Delaney,3,9,1991,26,29,4,GER,Borussia Dortmund  
SUI,4,DF,Nico,Elvedi,30,9,1996,21,6,0,GER,Borussia Mönchengladbach  
CRO,18,FW,Ante,Rebić,21,9,1993,24,18,2,GER,Eintracht Frankfurt  
MEX,3,DF,Carlos,Salcedo,29,9,1993,24,23,0,GER,Eintracht Frankfurt  
SUI,16,MF,Gelson,Fernandes,2,9,1986,31,67,2,GER,Eintracht Frankfurt  
SRB,13,DF,Miloš,Veljković,26,9,1995,22,2,0,GER,Werder Bremen  
EGY,22,MF,Amr,Warda,17,9,1993,24,20,0,GRE,PAOK   
PAN,17,DF,Luis,Ovalle,7,9,1988,29,25,0,HON,Olimpia   
IRN,15,DF,Pejman,Montazeri,6,9,1983,34,46,2,IRN,Esteghlal   
IRN,9,MF,Omid,Ebrahimi,16,9,1987,30,33,0,IRN,Esteghlal   
IRN,1,GK,Alireza,Beiranvand,21,9,1992,25,25,0,IRN,Persepolis   
IRN,2,MF,Mehdi,Torabi,10,9,1994,23,17,4,IRN,Saipa   
BRA,3,DF,Miranda,,7,9,1984,33,49,2,ITA,Internazionale   
BRA,7,FW,Douglas,Costa,14,9,1990,27,26,3,ITA,Juventus   
COL,2,DF,Cristián,Zapata,30,9,1986,31,55,2,ITA,Milan   
SEN,23,GK,Alfred,Gomis,5,9,1993,24,1,0,ITA,SPAL   
ARG,4,DF,Cristian,Ansaldi,20,9,1986,31,5,1,ITA,Torino   
SRB,22,MF,Adem,Ljajić,29,9,1991,26,31,6,ITA,Torino   
KOR,20,DF,Jang,Hyun-soo,28,9,1991,26,53,3,JPN,FC Tokyo  
KOR,1,GK,Kim,Seung-gyu,30,9,1990,27,33,0,JPN,Vissel Kobe  
MEX,12,GK,Alfredo,Talavera,18,9,1982,35,27,0,MEX,Toluca   
PER,16,MF,Wilder,Cartagena,23,9,1994,23,3,0,MEX,Veracruz   
PER,12,GK,Carlos,Cáceda,27,9,1991,26,6,0,MEX,Veracruz   
IRN,16,FW,Reza,Ghoochannejhad,20,9,1987,30,44,16,NED,Heerenveen   
POL,2,DF,Michał,Pazdan,21,9,1987,30,35,0,POL,Legia Warsaw  
PAN,1,GK,Jaime,Penedo,26,9,1981,36,133,0,ROM,Dinamo București  
IRN,5,DF,Milad,Mohammadi,29,9,1993,24,21,0,RUS,Akhmat Grozny  
RUS,2,DF,Mário,Fernandes,19,9,1990,27,8,0,RUS,CSKA Moscow  
TUN,16,GK,Aymen,Mathlouthi,14,9,1984,33,70,0,KSA, Al-Batin  
KSA,6,DF,Mohammed,Al-Breik,15,9,1992,25,14,1,KSA, Al-Hilal  
KSA,12,MF,Mohamed,Kanno,22,9,1994,23,7,1,KSA, Al-Hilal  
KSA,19,MF,Fahad,Al-Muwallad,14,9,1994,23,49,10,KSA, Al-Ittihad  
KSA,5,DF,Omar,Hawsawi,27,9,1985,32,47,3,KSA, Al-Nassr  
KOR,23,GK,Jo,Hyeon-woo,25,9,1991,26,8,0,KOR, Daegu FC 
KOR,14,DF,Hong,Chul,17,9,1990,27,15,0,KOR, Sangju Sangmu 
COL,13,DF,Yerry,Mina,23,9,1994,23,13,4,ESP,Barcelona   
MEX,18,MF,Andrés,Guardado,28,9,1986,31,149,25,ESP,Betis   
CRO,10,MF,Luka,Modrić,9,9,1985,32,108,14,ESP,Real Madrid  
COL,7,FW,Carlos,Bacca,8,9,1986,31,47,14,ESP,Villarreal   
IRN,14,MF,Saman,Ghoddos,6,9,1993,24,11,1,SWE,Östersund   
POR,20,FW,Ricardo,Quaresma,26,9,1983,34,79,10,TUR,Beşiktaş   
NGA,5,DF,William,Troost-Ekong,1,9,1993,24,23,1,TUR,Bursaspor   
JPN,5,DF,Yūto,Nagatomo,12,9,1986,31,107,3,TUR,Galatasaray   
POR,16,MF,Bruno,Fernandes,8,9,1994,23,8,1,UNA,
PER,14,MF,Andy,Polo,29,9,1994,23,17,1,USA,Portland Timbers  
URU,7,MF,Cristian,Rodríguez,30,9,1985,32,107,11,URU,Peñarol   
